Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/recipe/processInstantOpenCrateRecipe (POST),1.0 [0.5]*,41.92876192101726,218,62.5,145,375,9150,00.2,00.0
/playerraid/startRaid (POST),1.0 [0.5],242.89422316156038,35.0,6.31,27.2,72.3,8500,00.1,00.1
/recipe/recipe/processOpenGachaRecipe (POST),0.94 [0.5]*,26.954495346717263,310,446,178,2500,8350,00.1,00.1
/battlelog/mission/v1/action/draw (POST),1.0 [0.5],120.62608695652175,68.7,13.7,49.0,121,8290,00.1,00.0
/recipe/campaign/v2/listCoreCampaigns (POST),0.82 [0.5]*,19.0,435,221,115,768,8270,00.1,00.3
/playermodel/campaign/v2/getUpdatedCampaignInfo (POST),0.99 [0.5]*,66.99404358916493,123,138,22.4,842,8220,00.1,00.1
/{a:crate|crate\/v1}/campaign/v2/getUpdatedCampaignInfo (POST),0.93 [0.5]*,42.984423377919335,191,230,21.8,836,8220,00.1,00.3
/ads/claim (POST),1.0 [0.5],233.07340425531916,35.2,7.41,27.0,84.1,8200,00.1,00.0
/authenticationv2/login (POST),0.86 [0.5]*,21.0,383,578,66.6,2370,8040,00.1,00.3
/leaderboards/getPlayerPosition (POST),1.0 [0.5],159.58678421943182,50.2,17.9,26.3,183,8020,00.1,00.0
/recipe/quest/getQuests (POST),1.0 [0.5]*,96.97439001305158,78.3,16.3,54.4,147,7590,00.1,00.0
/leaderboards/claimPromotionRewards (POST),0.99 [0.5]*,47.98655534461832,154,90.1,70.1,610,7410,00.1,00.0
/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5],184.08505345455623,40.2,10.2,23.9,90.5,7400,00.1,00.0
/playermodel/recipe/processOpenGachaRecipe (POST),1.0 [0.5]*,33.026595744680854,214,34.5,167,296,7060,00.1,00.0
/authenticationv2/sociallogin (POST),0.63 [0.5]*,8.0,877,416,372,1330,7010,00.1,00.3
/store/liveops/events/evaluate (POST),1.0 [0.5]*,52.194871794871794,134,15.0,116,195,6980,00.1,00.0
/{a:crate|crate\/v1}/store/purchaseConversionProduct (POST),0.99 [0.5]*,66.9968085106383,103,127,21.1,952,6900,00.1,00.0
/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5],412.7438308452803,16.4,5.57,11.1,62.8,6760,00.1,00.0
/battlelog/inbox/claimPlayerInboxMessage (POST),0.75 [0.5]*,4.0,1600,2850,165,5870,6400,00.1,00.1
/inbox/readPlayerInboxMessage (POST),1.0 [0.5],180.2308510638298,34.8,5.81,26.9,73.4,6280,00.1,00.0
/playermodel/mission/v1/action/draw (POST),1.0 [0.5]*,89.84536750880682,69.5,13.7,49.2,133,6250,00.1,00.0
/battlelog/campaign/v2/listCoreCampaigns (POST),0.83 [0.5]*,15.0,409,176,121,721,6130,00.1,00.2
/tutorial/completeStep (POST),1.0 [0.5],165.0,36.9,33.6,11.5,138,6090,00.1,00.0
/tutorial/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,31.0,186,31.2,154,275,5780,00.1,00.0
/localcache/refresh (GET),0.5 [0.5]*,6.9794734693471145,799,58.7,707,881,5570,00.1,00.3
/playermodel/battlelog/listDefenseLogs (POST),1.0 [0.5],266.9297863472626,20.4,10.9,14.4,178,5440,00.1,00.0
/tutorial/quest/getQuests (POST),1.0 [0.5]*,69.0,76.6,15.7,56.2,137,5290,00.1,00.0
/{a:crate|crate\/v1}/recipe/processInstantOpenCrateRecipe (POST),0.96 [0.5]*,25.993134099311415,201,60.7,25.9,357,5220,00.1,00.1
/goal/v1/claimAchievement (POST),1.0 [0.5]*,48.20652173913044,108,30.2,66.1,184,5210,00.1,00.0
/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5],129.96546054280586,39.4,13.2,23.9,122,5120,00.1,00.0
/{a:crate|crate\/v1}/recipe/processOpenGachaRecipe (POST),1.0 [0.5]*,22.961063435616786,219,35.2,175,340,5040,00.1,00.0
