Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/battlelog/mission/v1/action/draw (POST),0.99 [0.5],10512.0,241,3220,44.1,118000,2530000,00.3,00.1
/playermodel/mission/v1/action/draw (POST),0.98 [0.5],10071.0,245,2230,42.5,80900,2470000,00.3,00.2
/infobutton/getRewardInfo (POST),0.98 [0.5],8084.0,304,3930,12.4,152000,2460000,00.3,00.2
/recipe/processInstantOpenCrateRecipe (POST),0.49 [0.5],8533.0,287,2630,24.5,116000,2450000,00.3,04.9
/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),0.99 [0.5],11583.466345372179,207,3050,20.8,143000,2400000,00.3,00.1
/store/store/purchaseConversionProduct (POST),0.98 [0.5],9642.0,244,2890,18.6,125000,2350000,00.3,00.2
/{a:crate|crate\/v1}/store/purchaseConversionProduct (POST),0.99 [0.5],10720.0,213,2980,19.4,127000,2280000,00.3,00.1
/leaderboards/getRewardsByLeague (POST),0.99 [0.5],8963.0,254,3710,9.65,149000,2270000,00.3,00.1
/store/{a:crate|crate\/v1}/listSharedCrates (POST),0.99 [0.5],9175.0,243,2990,21.0,92400,2230000,00.3,00.1
/{a:crate|crate\/v1}/battlelog/listDefenseLogs (POST),0.99 [0.5],11151.82081515148,199,3250,12.1,141000,2220000,00.3,00.1
/leaderboards/getTopPlayers (POST),0.98 [0.5],5939.0,360,4710,8.77,155000,2140000,00.3,00.1
/battlelog/campaign/v2/getUpdatedCampaignInfo (POST),0.99 [0.5],6411.0,332,3780,18.6,132000,2130000,00.3,00.1
/{a:crate|crate\/v1}/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5],11201.0,190,3410,20.3,160000,2130000,00.3,00.0
/reward/periodic/liveops/events/evaluate (POST),0.78 [0.5],154.0,13400,67200,10.0,437000,2060000,00.3,00.0
/recipe/quest/getQuests (POST),0.98 [0.5],6066.0,331,3620,41.3,140000,2010000,00.3,00.1
/recipe/processUpgradePlayerLevelRecipe (POST),0.85 [0.5],1239.0,1590,9760,14.9,161000,1970000,00.3,00.2
/leaderboards/getMyLeagueRewards (POST),0.99 [0.5],6781.0,281,4240,13.0,142000,1910000,00.3,00.1
/goal/v1/claimRepeatableGoal (POST),0.92 [0.5],460.0,4060,19800,25.1,179000,1870000,00.2,00.0
/tutorial/{a:authentication|authentication\/v1}/register (POST),0.33 [0.5]*,43.0,41400,70300,695,215000,1780000,00.2,00.0
/recipe/playermodel/listPlayerModelsByModelIds (POST),0.92 [0.5],3185.0,556,3050,134,102000,1770000,00.2,00.3
