Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/{a:crate|crate\/v1}/recipe/processInstantOpenCrateRecipe (POST),0.44 [0.5],1487.0,157,275,22.7,6620,234000,00.0,00.9
/tutorial/goal/v1/claimAchievement (POST),0.96 [0.5],150.0,1500,15000,67.0,184000,225000,00.0,00.0
/recipe/playerraid/startRaid (POST),0.98 [0.5],1030.0,214,1650,28.7,34000,220000,00.0,00.0
/recipe/reward/periodic/executeScheduledPeriodicReward (POST),0.91 [0.5]*,37.0,5810,21900,23.1,118000,215000,00.0,00.0
/battlelog/quest/claimQuest (POST),0.92 [0.5],200.0,1000,6880,185,96000,200000,00.0,00.0
/playermodel/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.97 [0.5],659.0,297,1790,63.2,41000,196000,00.0,00.0
/playermodel/infobutton/getProductRewardInfo (POST),0.99 [0.5],1158.0,166,2200,11.7,72900,192000,00.0,00.0
/recipe/tutorial/startStep (POST),0.98 [0.5],292.0,655,9150,15.2,156000,191000,00.0,00.0
/store/goal/v1/claimAchievement (POST),0.95 [0.5],194.0,961,5810,73.5,56500,187000,00.0,00.0
/tutorial/playerraid/startRaid (POST),0.99 [0.5],370.0,495,6410,26.8,116000,183000,00.0,00.0
/recipe/leaderboards/getPlayerPosition (POST),0.96 [0.5],436.0,399,1770,47.3,36800,174000,00.0,00.0
/recipe/leaderboards/getTopPlayers (POST),0.97 [0.5],306.0,553,5700,9.66,92000,169000,00.0,00.0
/store/leaderboards/getRewardsByLeague (POST),0.99 [0.5],828.0,199,2930,9.75,73400,165000,00.0,00.0
/playermodel/goal/v1/claimAchievement (POST),0.95 [0.5],298.0,538,2780,62.4,30600,160000,00.0,00.0
/battlelog/goal/v1/claimAchievement (POST),0.98 [0.5],308.0,519,5220,70.4,91600,160000,00.0,00.0
/playermodel/quest/claimQuest (POST),0.76 [0.5],208.0,766,2380,199,31200,159000,00.0,00.1
/battlelog/leaderboards/getRewardsByLeague (POST),1.0 [0.5],1334.0,119,2290,10.2,61800,159000,00.0,00.0
/tutorial/{a:matchmaking|matchmaking\/v1}/search (POST),0.99 [0.5],425.0,373,4880,19.9,99600,158000,00.0,00.0
/recipe/ads/claim (POST),0.63 [0.5],1027.0,150,993,21.2,29100,154000,00.0,00.4
/{a:crate|crate\/v1}/{a:authentication|authentication\/v1}/login/internal (POST),0.97 [0.5],146.0,1020,8160,45.7,93600,150000,00.0,00.0
/{a:crate|crate\/v1}/playermodel/liveops/events/evaluate (POST),0.17 [0.5]*,70.0,2110,285,1660,2510,148000,00.0,00.1
/recipe/leaderboards/getCurrentLeague (POST),0.99 [0.5],752.0,193,3010,14.1,82500,145000,00.0,00.0
/playermodel/leaderboards/getTopPlayers (POST),0.98 [0.5],864.0,166,1060,9.49,30000,143000,00.0,00.0
/tutorial/recipe/processInstantOpenCrateRecipe (POST),0.88 [0.5],101.0,1420,5980,35.1,49400,143000,00.0,00.0
/store/recipe/processUpgradePlayerLevelRecipe (POST),0.85 [0.5],148.0,965,5120,16.4,55600,143000,00.0,00.0
/{a:crate|crate\/v1}/quest/claimQuest (POST),0.91 [0.5],217.0,636,3660,166,54300,138000,00.0,00.0
/model/campaign/v2/listCoreCampaigns (POST),0.6 [0.5]*,5.0,25900,38200,200,85800,129000,00.0,00.0
/playermodel/leaderboards/getPayoutTime (POST),0.98 [0.5],466.0,277,3370,9.51,67900,129000,00.0,00.0
/{a:crate|crate\/v1}/battlelog/liveops/events/evaluate (POST),0.16 [0.5]*,61.0,2110,281,1670,2510,129000,00.0,00.1
/store/quest/claimQuest (POST),0.9 [0.5],178.0,706,3810,173,51300,126000,00.0,00.0
/battlelog/recipe/processUpgradeCharacterQualityRecipe (POST),0.96 [0.5]*,96.0,1290,7890,76.8,72000,124000,00.0,00.0
/playermodel/leaderboards/getMyLeagueRewards (POST),0.99 [0.5],920.0,130,766,13.3,18400,120000,00.0,00.0
/battlelog/leaderboards/getPayoutTime (POST),1.0 [0.5],405.0,291,3880,9.62,62000,118000,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/liveops/events/evaluate (POST),0.15 [0.5]*,53.0,2130,274,1670,2370,113000,00.0,00.1
/{a:crate|crate\/v1}/goal/v1/claimRepeatableGoal (POST),0.88 [0.5]*,52.0,2100,12800,24.9,92400,109000,00.0,00.0
/healthcheck (GET),0.99 [0.5],228.0,467,2720,164,41200,107000,00.0,00.0
/recipe/campaign/v2/getUpdatedStageInfo (POST),0.98 [0.5],513.0,203,1270,10.9,24300,104000,00.0,00.0
/recipe/recipe/processInstantOpenCrateRecipe (POST),0.52 [0.5],405.0,255,1170,27.4,23400,103000,00.0,00.2
/model/store/purchaseConversionProduct (POST),0.63 [0.5]*,24.0,4140,11200,27.6,50900,99400,00.0,00.0
/recipe/recipe/processUnlockCharacterRecipe (POST),0.95 [0.5]*,73.0,1360,9320,31.2,79000,99100,00.0,00.0
/tutorial/ads/claim (POST),0.8 [0.5],460.0,214,3600,21.8,77200,98300,00.0,00.1
/recipe/inbox/claimPlayerInboxMessage (POST),0.9 [0.5],176.0,558,2270,60.1,26100,98300,00.0,00.0
/playermodel/{a:crate|crate\/v1}/assignSharedCrate (POST),0.4 [0.5],551.0,176,229,30.5,4040,96900,00.0,00.4
/tutorial/infobutton/getProductRewardInfo (POST),0.98 [0.5],132.0,709,6850,10.6,78000,93600,00.0,00.0
/tutorial/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.96 [0.5],138.0,661,4830,57.1,55900,91200,00.0,00.0
/recipe/quest/claimQuest (POST),0.83 [0.5],106.0,858,2850,194,24100,90900,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/executeScheduledPeriodicReward (POST),0.97 [0.5]*,78.0,1140,9540,23.2,84300,89100,00.0,00.0
/reward/periodic/mission/v1/action/draw (POST),0.98 [0.5]*,59.0,1470,10600,50.9,81300,86900,00.0,00.0
/servertime/getServerTime (POST),0.99 [0.5],290.4012634033176,299,4750,0.279,81000,86900,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getTopPlayers (POST),0.99 [0.5],659.0,131,1130,11.0,28100,86600,00.0,00.0
/tutorial/inbox/getPlayerInbox (POST),1.0 [0.5],434.0,195,3170,10.9,66000,84800,00.0,00.0
/reward/periodic/campaign/v2/startStage (POST),0.89 [0.5]*,14.0,6030,21900,43.9,82000,84400,00.0,00.0
/recipe/infobutton/getProductRewardInfo (POST),0.99 [0.5],375.0,224,2070,11.5,34300,84000,00.0,00.0
/recipe/inbox/readPlayerInboxMessage (POST),0.97 [0.5],290.0,282,1390,27.2,20300,81800,00.0,00.0
/reward/periodic/playermodel/listPlayerModelsByModelIds (POST),0.98 [0.5],117.9239567868026,681,4690,137,51200,80300,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradePlayerLevelRecipe (POST),0.86 [0.5],150.0,524,2600,18.8,31500,78600,00.0,00.0
/reward/periodic/battlelog/listDefenseLogs (POST),0.99 [0.5]*,76.0,1030,8620,15.5,75200,78000,00.0,00.0
/battlelog/goal/v1/claimRepeatableGoal (POST),0.89 [0.5]*,58.0,1330,7090,25.0,54000,77200,00.0,00.0
/leaderboards/getLeaguesInformation (POST),0.99 [0.5]*,93.80114498798838,811,7490,10.1,72700,76100,00.0,00.0
/tutorial/inbox/claimPlayerInboxMessage (POST),0.95 [0.5]*,85.0,879,5890,49.6,54400,74700,00.0,00.0
/reward/periodic/store/purchaseConversionProduct (POST),0.97 [0.5]*,89.0,806,4710,21.4,32500,71700,00.0,00.0
/model/playermodel/listPlayerModels (POST),0.58 [0.5]*,43.0,1660,3930,397,26300,71600,00.0,00.0
/tutorial/campaign/v2/startStage (POST),0.97 [0.5],245.0,289,1860,36.6,25400,70800,00.0,00.0
/tutorial/quest/claimQuest (POST),0.96 [0.5]*,81.0,809,4660,173,42200,65500,00.0,00.0
/tutorial/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5],427.0,150,2430,10.6,50300,64100,00.0,00.0
/model/playermodel/listPlayerModelsByModelIds (POST),0.48 [0.5]*,22.0,2910,6520,179,31500,64000,00.0,00.0
/battlelog/model/listModels (POST),0.44 [0.5]*,24.0,2630,5710,970,29300,63100,00.0,00.0
/recipe/goal/v1/claimAchievement (POST),0.95 [0.5],132.0,470,1890,73.9,16900,62000,00.0,00.0
/recipe/goal/v1/claimRepeatableGoal (POST),0.89 [0.5]*,41.0,1500,7610,39.1,49000,61700,00.0,00.0
/tutorial/leaderboards/getMyLeagueRewards (POST),0.99 [0.5],117.0,514,5220,14.4,56500,60100,00.0,00.0
/model/{a:matchmaking|matchmaking\/v1}/search (POST),0.56 [0.5]*,9.0,6660,16800,58.6,51300,59900,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getRewardsByLeague (POST),1.0 [0.5],1011.0,58.0,486,11.3,12300,58600,00.0,00.0
/playermodel/model/listModels (POST),0.34 [0.5]*,25.0,2230,2620,959,14300,55700,00.0,00.0
/battlelog/playermodel/listPlayerModels (POST),0.41 [0.5]*,28.0,1940,2290,515,10900,54300,00.0,00.0
/store/leaderboards/getTopPlayers (POST),0.98 [0.5],566.0,94.9,144,10.7,1910,53700,00.0,00.0
/recipe/leaderboards/getMyLeagueRewards (POST),0.98 [0.5],343.0,155,1220,15.0,22400,53300,00.0,00.0
/tutorial/reward/periodic/executeScheduledPeriodicReward (POST),0.98 [0.5]*,60.0,885,6580,20.3,51000,53100,00.0,00.0
/{a:crate|crate\/v1}/infobutton/getRewardInfo (POST),0.99 [0.5],921.0,57.6,162,13.9,3390,53100,00.0,00.0
/{a:crate|crate\/v1}/model/listModels (POST),0.39 [0.5]*,33.0,1590,781,920,3630,52500,00.0,00.0
/model/liveops/events/evaluate (POST),0.59 [0.5]*,42.97123592578999,1170,1440,8.94,7720,50300,00.0,00.0
/store/model/listModels (POST),0.41 [0.5]*,28.0,1770,1230,835,7070,49500,00.0,00.0
/{a:crate|crate\/v1}/goal/v1/claimAchievement (POST),0.98 [0.5],235.0,211,243,50.3,3090,49500,00.0,00.0
/store/{a:crate|crate\/v1}/assignSharedCrate (POST),0.42 [0.5],491.0,100,88.0,36.4,763,49300,00.0,00.3
/{a:crate|crate\/v1}/leaderboards/getMyLeagueRewards (POST),1.0 [0.5],686.0,70.7,755,14.3,19500,48500,00.0,00.0
/recipe/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.98 [0.5],251.0,193,421,61.1,6500,48300,00.0,00.0
/battlelog/{a:crate|crate\/v1}/assignSharedCrate (POST),0.41 [0.5],450.0,99.7,182,22.7,3030,44800,00.0,00.3
/store/leaderboards/getPayoutTime (POST),0.98 [0.5],307.0,145,1110,9.33,17700,44500,00.0,00.0
/tutorial/recipe/processUnlockCharacterRecipe (POST),0.95 [0.5]*,98.0,451,2200,58.5,19900,44200,00.0,00.0
/store/leaderboards/getMyLeagueRewards (POST),0.99 [0.5],647.0,67.8,289,14.9,6020,43900,00.0,00.0
/{a:crate|crate\/v1}/tutorial/startStep (POST),0.99 [0.5],383.0,114,1080,16.0,16000,43800,00.0,00.0
/playermodel/reward/periodic/executeScheduledPeriodicReward (POST),0.75 [0.5],139.0,315,2010,18.7,23200,43700,00.0,00.0
/tutorial/leaderboards/getPlayerPosition (POST),0.99 [0.5],168.0,249,162,36.6,1630,41800,00.0,00.0
/store/recipe/processUnlockCharacterRecipe (POST),0.94 [0.5],101.0,411,2120,27.2,20900,41600,00.0,00.0
/reward/periodic/recipe/processUpgradePlayerLevelRecipe (POST),0.71 [0.5]*,7.0,5850,14900,21.1,39600,41000,00.0,00.0
/store/playermodel/listPlayerModels (POST),0.59 [0.5]*,29.0,1240,1020,455,4930,36000,00.0,00.0
/tutorial/inbox/readPlayerInboxMessage (POST),0.98 [0.5],152.0,232,1360,26.9,14500,35200,00.0,00.0
/battlelog/recipe/processUnlockCharacterRecipe (POST),0.96 [0.5],139.0,239,1330,25.9,15600,33200,00.0,00.0
/reward/periodic/campaign/v2/listCoreCampaigns (POST),0.78 [0.5]*,9.0,3510,9330,259,28400,31600,00.0,00.0
/tutorial/playermodel/listPlayerModels (POST),0.47 [0.5]*,17.0,1790,2540,488,11400,30400,00.0,00.0
/playermodel/goal/v1/claimRepeatableGoal (POST),0.96 [0.5]*,67.0,452,1920,83.0,15900,30300,00.0,00.0
/playermodel/playermodel/listPlayerModels (POST),0.5 [0.5]*,21.0,1430,2430,459,11900,30100,00.0,00.0
/recipe/{a:crate|crate\/v1}/assignSharedCrate (POST),0.56 [0.5],170.0,177,208,33.6,1810,30100,00.0,00.1
/reward/periodic/{a:crate|crate\/v1}/listSharedCrates (POST),0.99 [0.5]*,85.0,347,2720,21.9,25200,29500,00.0,00.0
/tutorial/leaderboards/getCurrentLeague (POST),0.99 [0.5],255.0,109,884,13.4,13000,27700,00.0,00.0
/{a:crate|crate\/v1}/playermodel/listPlayerModels (POST),0.52 [0.5]*,27.0,992,456,473,1620,26800,00.0,00.0
/model/recipe/processOpenGachaRecipe (POST),0.7 [0.5]*,5.0,5160,10100,267,23200,25800,00.0,00.0
/sharedmodel/playermodel/listPlayerModels (POST),0.56 [0.5]*,31.98195857857282,755,305,468,1450,24200,00.0,00.0
/model/{a:crate|crate\/v1}/listSharedCrates (POST),0.79 [0.5]*,33.0,716,1240,29.8,6090,23600,00.0,00.0
/localcache/refresh (GET),0.5 [0.5]*,27.0,849,51.8,767,970,22900,00.0,00.0
/model/mission/v1/action/draw (POST),0.66 [0.5]*,19.0,1200,1610,58.5,6370,22800,00.0,00.0
/playermodel/recipe/processUpgradeCharacterQualityRecipe (POST),0.96 [0.5]*,95.0,232,261,76.0,1720,22000,00.0,00.0
/playermodel/recipe/processUnlockCharacterRecipe (POST),0.99 [0.5],147.0,149,116,59.8,569,21900,00.0,00.0
/tutorial/leaderboards/getPayoutTime (POST),0.97 [0.5]*,67.0,307,1680,7.88,12400,20600,00.0,00.0
/tutorial/model/listModels (POST),0.38 [0.5]*,12.0,1590,728,1010,2940,19100,00.0,00.0
/recipe/playermodel/listPlayerModels (POST),0.56 [0.5]*,16.0,1130,533,492,1840,18100,00.0,00.0
/playermodel/leaderboards/claimPromotionRewards (POST),0.93 [0.5]*,56.0,315,539,63.5,4010,17600,00.0,00.0
/model/quest/getQuests (POST),0.78 [0.5]*,25.0,680,886,72.6,2980,17000,00.0,00.0
/model/{a:authentication|authentication\/v1}/register (POST),0.25 [0.5]*,2.0,8430,10500,989,15900,16900,00.0,00.0
/playermodel/recipe/liveops/events/evaluate (POST),0.94 [0.5]*,76.0,212,611,11.2,3360,16100,00.0,00.0
/store/leaderboards/getLeaguesInformation (POST),0.9 [0.5]*,10.0,1590,4970,11.0,15700,15900,00.0,00.0
/model/battlelog/listDefenseLogs (POST),0.76 [0.5]*,23.0,674,906,13.7,2670,15500,00.0,00.0
/playermodel/{a:authentication|authentication\/v1}/login/internal (POST),0.99 [0.5],114.0,130,117,46.6,535,14900,00.0,00.0
/recipe/model/listModels (POST),0.3 [0.5]*,5.0,2860,2210,1090,5660,14300,00.0,00.0
/{a:crate|crate\/v1}/recipe/liveops/events/evaluate (POST),0.94 [0.5]*,76.0,179,520,11.6,2510,13600,00.0,00.0
/battlelog/leaderboards/claimPromotionRewards (POST),0.97 [0.5]*,57.0,229,765,62.4,5860,13100,00.0,00.0
/reward/periodic/quest/getQuests (POST),1.0 [0.5],119.0,108,36.5,44.3,219,12800,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getPayoutTime (POST),0.99 [0.5],351.0,36.0,91.6,9.55,1140,12600,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUpgradeCharacterQualityRecipe (POST),0.99 [0.5]*,93.0,135,70.4,75.0,559,12600,00.0,00.0
/{a:crate|crate\/v1}/recipe/processUnlockCharacterRecipe (POST),1.0 [0.5],106.0,111,60.3,57.1,574,11800,00.0,00.0
/reward/periodic/recipe/processOpenGachaRecipe (POST),0.86 [0.5]*,14.0,834,1830,202,7170,11700,00.0,00.0
/store/leaderboards/claimPromotionRewards (POST),0.93 [0.5]*,45.0,258,376,62.5,2440,11600,00.0,00.0
/playermodel/playermodel/liveops/events/evaluate (POST),0.1 [0.5]*,5.0,2200,178,1890,2330,11000,00.0,00.0
/store/recipe/processUpgradeCharacterQualityRecipe (POST),1.0 [0.5]*,80.0,137,69.5,77.2,413,10900,00.0,00.0
/{a:crate|crate\/v1}/recipe/playermodel/listPlayerModelsByModelIds (POST),0.97 [0.5]*,34.0,321,107,216,688,10900,00.0,00.0
/model/playerraid/end (POST),0.77 [0.5]*,13.0,802,895,192,3240,10400,00.0,00.0
/battlelog/recipe/playermodel/listPlayerModelsByModelIds (POST),0.97 [0.5]*,30.0,347,146,213,904,10400,00.0,00.0
/tutorial/infobutton/getGachaRewardInfo (POST),1.0 [0.5],128.0,77.4,79.6,15.0,541,9910,00.0,00.0
/playermodel/playermodel/battlelog/liveops/events/evaluate (POST),0.3 [0.5]*,5.0,1940,322,1690,2300,9720,00.0,00.0
/store/reward/periodic/executeScheduledPeriodicReward (POST),0.98 [0.5]*,43.0,224,1070,24.2,7060,9630,00.0,00.0
/battlelog/recipe/quest/getQuests (POST),0.98 [0.5]*,60.0,160,148,73.2,1080,9600,00.0,00.0
/playermodel/battlelog/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,4.0,2320,37.1,2280,2370,9290,00.0,00.0
/playermodel/recipe/quest/getQuests (POST),0.99 [0.5]*,59.0,153,91.5,80.0,531,9060,00.0,00.0
/recipe/leaderboards/getPayoutTime (POST),1.0 [0.5],147.0,57.4,122,9.54,1030,8440,00.0,00.0
/store/{a:authentication|authentication\/v1}/login/internal (POST),0.99 [0.5]*,93.0,89.7,71.3,44.6,556,8340,00.0,00.0
/model/playerraid/startRaid (POST),0.68 [0.5]*,11.0,756,990,32.0,2570,8310,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/claimPromotionRewards (POST),1.0 [0.5]*,53.0,155,99.9,61.8,455,8200,00.0,00.0
/{a:crate|crate\/v1}/recipe/quest/getQuests (POST),0.99 [0.5]*,56.0,140,81.1,80.4,639,7820,00.0,00.0
/playermodel/recipe/playermodel/listPlayerModelsByModelIds (POST),0.93 [0.5]*,23.0,338,146,206,750,7770,00.0,00.0
/reward/periodic/playerraid/end (POST),0.91 [0.5]*,22.0,344,133,205,635,7570,00.0,00.0
/model/tutorial/completeStep (POST),0.75 [0.5]*,12.0,611,903,11.8,2990,7330,00.0,00.0
/recipe/{a:authentication|authentication\/v1}/login/internal (POST),0.95 [0.5]*,33.0,217,548,48.6,3190,7150,00.0,00.0
/battlelog/recipe/liveops/events/evaluate (POST),0.97 [0.5]*,61.0,116,442,11.1,2480,7080,00.0,00.0
/tutorial/{a:crate|crate\/v1}/assignSharedCrate (POST),0.97 [0.5]*,66.0,107,53.6,49.6,271,7070,00.0,00.0
/{a:crate|crate\/v1}/battlelog/playermodel/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,3.0,2300,27.2,2280,2330,6910,00.0,00.0
/{a:crate|crate\/v1}/playermodel/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,3.0,2270,11.6,2260,2290,6820,00.0,00.0
/tutorial/leaderboards/getTopPlayers (POST),0.92 [0.5],100.0,67.4,85.7,11.7,427,6740,00.0,00.0
/reward/periodic/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,51.0,130,119,22.4,407,6620,00.0,00.0
/playermodel/battlelog/battlelog/liveops/events/evaluate (POST),0.17 [0.5]*,3.0,2140,329,1760,2340,6430,00.0,00.0
/model/campaign/v2/getUpdatedCampaignInfo (POST),0.8 [0.5]*,10.0,640,601,31.5,1690,6400,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/playermodel/liveops/events/evaluate (POST),0.17 [0.5]*,3.0,2130,352,1720,2340,6390,00.0,00.0
/playermodel/recipe/playerraid/end (POST),0.77 [0.5]*,13.0,472,206,241,909,6130,00.0,00.0
/tutorial/leaderboards/getLeaguesInformation (POST),0.94 [0.5]*,18.0,340,1360,10.9,5800,6130,00.0,00.0
/battlelog/recipe/playerraid/end (POST),0.91 [0.5]*,16.0,377,124,231,640,6030,00.0,00.0
/reward/periodic/campaign/v2/finishStage (POST),0.75 [0.5]*,12.0,500,224,260,1060,6000,00.0,00.0
/battlelog/battlelog/liveops/events/evaluate (POST),0.33 [0.5]*,3.0,1900,353,1690,2300,5690,00.0,00.0
/battlelog/playermodel/liveops/events/evaluate (POST),0.33 [0.5]*,3.0,1880,338,1680,2270,5630,00.0,00.0
/store/recipe/quest/getQuests (POST),1.0 [0.5]*,46.0,121,46.3,72.9,282,5550,00.0,00.0
/store/recipe/playermodel/listPlayerModelsByModelIds (POST),0.91 [0.5]*,16.0,344,171,186,854,5510,00.0,00.0
/tutorial/infobutton/getRewardInfo (POST),1.0 [0.5],142.0,38.0,39.3,14.7,263,5400,00.0,00.0
/recipe/leaderboards/claimPromotionRewards (POST),0.98 [0.5]*,26.0,207,151,66.3,648,5370,00.0,00.0
/battlelog/reward/periodic/executeScheduledPeriodicReward (POST),1.0 [0.5],110.0,48.7,85.5,21.5,880,5360,00.0,00.0
/store/recipe/store/purchaseConversionProduct (POST),0.98 [0.5]*,41.0,127,272,23.9,1510,5200,00.0,00.0
/store/recipe/campaign/v2/finishStage (POST),0.69 [0.5]*,8.0,617,360,252,1390,4940,00.0,00.0
/recipe/recipe/processUpgradeCharacterQualityRecipe (POST),0.98 [0.5]*,27.0,178,117,89.8,528,4810,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,2.0,2320,13.4,2310,2330,4640,00.0,00.0
/{a:crate|crate\/v1}/battlelog/reward/periodic/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,2.0,2310,11.6,2300,2320,4630,00.0,00.0
/{a:crate|crate\/v1}/playermodel/playermodel/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,2.0,2310,35.2,2290,2340,4630,00.0,00.0
/reward/periodic/reward/periodic/executeScheduledPeriodicReward (POST),0.91 [0.5],140.0,32.9,8.97,21.0,98.0,4610,00.0,00.0
/store/recipe/liveops/events/evaluate (POST),0.97 [0.5]*,58.0,78.7,321,12.2,2010,4560,00.0,00.0
/battlelog/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,2.0,2280,20.8,2270,2300,4560,00.0,00.0
/model/campaign/v2/finishStage (POST),0.79 [0.5]*,7.0,650,701,251,2170,4550,00.0,00.0
/reward/periodic/leaderboards/getPlayerPosition (POST),0.96 [0.5]*,13.0,341,337,83.4,1410,4430,00.0,00.0
/battlelog/recipe/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,24.0,182,162,28.4,499,4380,00.0,00.0
/sharedmodel/listSharedModels (POST),0.99 [0.5]*,69.85597401454375,62.4,114,15.6,967,4360,00.0,00.0
/playermodel/recipe/campaign/v2/listCoreCampaigns (POST),0.89 [0.5]*,9.0,481,64.9,402,601,4330,00.0,00.0
/model/campaign/v2/startStage (POST),0.67 [0.5]*,3.0,1440,2370,65.6,4170,4310,00.0,00.0
/playermodel/recipe/campaign/v2/getUpdatedCampaignInfo (POST),0.98 [0.5]*,31.0,137,139,23.3,505,4240,00.0,00.0
/battlelog/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,56.0,74.8,93.3,24.5,472,4190,00.0,00.0
/playermodel/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,47.0,86.8,115,26.9,493,4080,00.0,00.0
/playermodel/reward/periodic/playermodel/liveops/events/evaluate (POST),0.25 [0.5]*,2.0,2030,398,1750,2310,4060,00.0,00.0
/model/infobutton/getGachaRewardInfo (POST),0.5 [0.5]*,3.0,1350,1410,27.0,2830,4050,00.0,00.0
/battlelog/playermodel/battlelog/liveops/events/evaluate (POST),0.25 [0.5]*,2.0,1990,422,1690,2280,3970,00.0,00.0
/battlelog/recipe/campaign/v2/finishStage (POST),0.9 [0.5]*,10.0,396,178,228,785,3960,00.0,00.0
/model/campaign/v2/getPlayerCampaignStatus (POST),0.91 [0.5]*,17.0,221,440,12.3,1350,3750,00.0,00.0
/recipe/recipe/liveops/events/evaluate (POST),0.92 [0.5]*,19.0,197,553,12.4,2160,3740,00.0,00.0
/model/version (GET),0.97 [0.5]*,34.95126682454867,105,591,0.582,3500,3680,00.0,00.0
/playermodel/battlelog/playermodel/battlelog/liveops/events/evaluate (POST),0.5 [0.5]*,2.0,1800,148,1700,1910,3600,00.0,00.0
/reward/periodic/recipe/processInstantOpenCrateRecipe (POST),0.73 [0.5]*,13.0,277,189,34.2,718,3600,00.0,00.0
/tutorial/leaderboards/getRewardsByLeague (POST),1.0 [0.5],133.0,26.9,45.3,10.0,314,3580,00.0,00.0
/tutorial/leaderboards/claimPromotionRewards (POST),0.98 [0.5]*,30.0,109,103,59.5,595,3260,00.0,00.0
/{a:authentication|authentication\/v1}/login/googleplay (POST),0.8 [0.5]*,4.907035025060776,662,433,352,1390,3250,00.0,00.0
/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,98.0,32.7,3.64,27.4,42.4,3210,00.0,00.0
/store/servertime/getServerTime (POST),0.86 [0.5]*,7.0,446,1180,0.355,3120,3120,00.0,00.0
/reward/periodic/recipe/processUnlockCharacterRecipe (POST),0.0 [0.5]*,1.0,3070,0,3070,3070,3070,00.0,00.0
/playermodel/recipe/campaign/v2/finishStage (POST),0.92 [0.5]*,6.0,507,422,223,1340,3040,00.0,00.0
/sharedmodel/campaign/v2/listCoreCampaigns (POST),0.91 [0.5]*,11.0,275,228,111,770,3020,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/getUpdatedCampaignInfo (POST),0.97 [0.5]*,17.0,175,177,27.0,511,2980,00.0,00.0
/sharedmodel/model/listModels (POST),0.5 [0.5]*,3.0,991,29.0,964,1020,2970,00.0,00.0
/model/leaderboards/getPlayerPosition (POST),0.75 [0.5]*,4.0,722,1020,156,2240,2890,00.0,00.0
/battlelog/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,45.0,63.8,20.9,35.2,138,2870,00.0,00.0
/{a:crate|crate\/v1}/recipe/mission/v1/action/draw (POST),0.98 [0.5]*,26.0,110,105,60.5,615,2850,00.0,00.0
/playermodel/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,34.0,81.4,20.8,45.5,142,2770,00.0,00.0
/playermodel/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,35.0,76.8,53.6,34.5,338,2690,00.0,00.0
/{a:crate|crate\/v1}/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,34.0,78.7,97.2,20.2,428,2680,00.0,00.0
/store/recipe/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,23.0,116,136,27.7,478,2660,00.0,00.0
/battlelog/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,33.0,80.5,21.1,58.4,168,2660,00.0,00.0
/model/inbox/claimPlayerInboxMessage (POST),0.67 [0.5]*,3.0,877,1230,125,2300,2630,00.0,00.0
/model/leaderboards/getCurrentLeague (POST),0.86 [0.5]*,7.0,373,926,15.3,2470,2610,00.0,00.0
/battlelog/recipe/campaign/v2/listCoreCampaigns (POST),0.8 [0.5]*,5.0,522,175,376,822,2610,00.0,00.0
/model/inbox/getPlayerInbox (POST),0.91 [0.5]*,11.0,237,477,15.2,1360,2600,00.0,00.0
/battlelog/claim (POST),1.0 [0.5]*,25.0,104,100,50.1,498,2600,00.0,00.0
/reward/periodic/tutorial/completeStep (POST),0.98 [0.5]*,33.0,77.1,111,11.2,514,2550,00.0,00.0
